"descripcion","Formato"
"Acelga-Biomilanes-1 Kg","6 KILOS"
"Aguacate Bacon-Biomilanes-kilo","4 KILOS"
"Alcachofas-Biomilanes-1 Kg","6 KILOS"
"Berenjena INVERNADERO- Biomilanes- 1 Kg","6 KILOS"
"Calabacin INVERNADERO-Biomilanes- 1 Kg","6 KILOS"
"Curcuma (raiz) - 100 gr - Biomilanes","KILOS"
"Hinojo - Biomilanes, precio kg","6 KILOS"
"Jengibre (raiz)- Biomilanes- 250 gramos","KILOS"
"Papaya - Biomilanes- precio kg","KILOS"
"Pimiento rojo california-Biomilanes-1 Kg","5 KILOS"
"Tomate ensalada INVERNADERO-Biomilanes-1 kg","6 KILOS"
"Tomate Pera INVERNADERO- Biomilanes -1 Kg","6 KILOS"
"Calabaza Cacahuete- Ecoeduco- precio kilo","CAJA DE 11 A 13 KILOS APROX"
"Boniato","6 KILOS"
"Cebolla seca -Ecoeduco- 1 kilo","10 KILOS"
"Cebolla seca -Ecoeduco- 2 kilos",""
"Chirivia Ecoeduco-precio kilo","5 KILOS"
"Maiz cocido-Ecoeduco-500 gr","CAJA DE 12 UNIDADES"
"Patata Blanca -Ecoeduco - 1 kilo","12 KILOS"
"Patata Blanca -Ecoeduco - 2 kilos",""
"Patata Blanca Mini - Ecoeduco- precio kilo","12 KILOS"
"Patata roja - Ecoeduco - 1 Kg","12 KILOS"
"Patata roja - Ecoeduco - 5 Kg",""
"Puerro -Ecoeduco - 1 kilo","9-10 KILOS"
"Remolacha -Ecoeduco - 1 kilo","6 KILOS"
"Remolacha cocida -Ecoeduco - 500 gr","CAJA DE 12 UNIDADES"
"Zanahoria - Ecoeduco - Kilo","12 KILOS"
"Manzana Galaxia- Fruitalpuntbio- 1 kilo","9-10 KILOS"
"Manzana Golden Supreme - FruitalpuntBio- 1 kilo","9-10 KILOS"
"Pera conferencia - Fruitalpuntbio - kilo","8-9 KILOS"
"Acelga blanca-Vall de la casella-Kilo","KILO"
"Ajo puerro- Vall de la Casella-Kilo","KILO"
"Calabacin INVERNADERO - La Vall de la Casella - 1 kg","KILO"
"Calabaza cacahuete-Vall de la casella-Kilo","KILO"
"Caqui-Vall de la Casella-Kg","KILO"
"Cebolla tierna- Vall de la Casella 3-4 piezas","PIEZAS"
"Col Kale- Vall de la Casella- Manojo","MANOJO"
"Mandarina -Vall de la Casella-Kilo","KILO"
"Naranja Navelina -La Vall de la Casella- kg","KILO"
"Naranja Vall de la Casella- PACK 6 kg-",""
"Pepino- Vall de la Casella-Kilo","KILO"
"Perejil Manojo 100 grs - La Vall de la Casella","MANOJO"
"Pimiento de Asar-Vall de la Casella-Kilo","KILO"
"Rabanito 200-300 grs La Vall de la Casella","MANOJO"
"Boniato - Pidebio - Kilo","6 KILOS"
"Champinon Portobello 500gr - Pidebio","3 KILOS"
"Platano - Pidebio - Precio Kilo","16 KILOS"
"Seta Shitake - Pidebio  - 500 gr.","2 KILOS"
"Acelga-Bio_trailla-_kilo","KILO"
"alcachofa -Bio Trailla- unidad","UNIDAD"
"Apio -Bio Trailla- Unidad aprox 1,185 kg","UNIDAD"
"Borraja- Bio Trailla-Kilo","KILO"
"Brocoli -Bio Trailla- kilo","KILO"
"Calabaza alargada-Bio trailla-kilo","KILO"
"CARDO","KILO"
"Cebolla blanca-Bio Trailla-kilo","KILO"
"Cogollo de tudela-Bio Trailla-unidad","KILO"
"Coliflor- Bio Trailla-kilo","KILO"
"Daikon blanco-Bio Trailla-kilo","KILO"
"Daikon rojo -Bio Trailla- kilo","KILO"
"Escarola-Bio Trailla- unidad","UNIDAD"
"Espinaca -Bio Trailla- manojo 250 gr","MANOJO"
"Kale Black -Bio Trailla- manojo","MANOJO"
"Kale pentian-Bio Trailla-Manojo","MANOJO"
"Kale red -Bio Trailla- manojo","MANOJO"
"Lechuga batavia -Bio Trailla- unidad","UNIDAD"
"Lechuga Maravilla-Bio Trailla- unidad","UNIDAD"
"Lombarda-Bio Trailla-kilo","KILO"
"Mazorca de maiz- Bio trailla- kilo","KILO"
"Pera red- Bio Trailla-Kilo","KILO"
"Pimiento del Piquillo-Bio trailla-kilo","KILO"
"Remolacha con hojas -Bio Trailla-kilo","KILO"
"Repollo-Bio Trailla-kilo","KILO"
"ROMANESCU- Bio Trailla- kilo","KILO"
"Tupinambo-Bio Trailla-Kilo","KILO"
